website,output.cyclomatic,output.cyclomaticDensity,output.halstead.bugs,output.halstead.difficulty,output.halstead.effort,output.halstead.length,output.halstead.time,output.halstead.vocabulary,output.halstead.volume,output.halstead.operands.distinct,output.halstead.operands.total,output.halstead.operators.distinct,output.halstead.operators.total,output.params,output.sloc.logical,output.sloc.physical,class
batrachos.com,66,30.427,4.584,47.4235,1304010.435,1614.5,72445.024,185.5,13750.883,167.0,850.0,18.5,764.5,24,239.5,298.5,1
kadikoytoner.com.tr,1,50.0,0.001,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0,2.0,2.0,0
baxmaxx.de,66,38.7605,4.5835,47.4235,1304010.435,1614.0,72445.024,185.0,13749.5055,166.5,849.5,18.5,764.5,24,239.0,298.0,1
physiciansgrade.com,1,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0
baza-nomerov.ru,66,63.7605,4.583,47.4235,1304010.435,1613.5,72445.024,184.5,13748.5055,166.0,849.0,18.5,764.5,24,238.5,297.5,1
taylormorrison.com,1,10.0,0.011000000000000001,0.0,0.0,10.0,0.0,10.0,33.219,10.0,10.0,0.0,0.0,0,10.0,10.0,0
beaverlac.co.za,66,18.7605,4.5885,47.4235,1304010.435,1618.0,72445.024,189.0,13765.115,170.5,853.5,18.5,764.5,24,243.0,302.0,1
invino.com.ua,1,20.0,0.004,0.0,0.0,5.0,0.0,5.0,11.61,5.0,5.0,0.0,0.0,0,5.0,5.0,0
beldadebordados.com,66,23.7605,4.585,47.4235,1304010.435,1615.5,72445.024,186.5,13754.3105,168.0,851.0,18.5,764.5,24,240.5,299.5,1
furu-blog.info,1,25.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0,4.0,4.0,0
beru.pp.ua,66,26.2605,4.583,47.4235,1304010.435,1615.0,72445.024,184.5,13748.5055,166.0,850.5,18.5,764.5,24,240.0,299.0,1
color4youcasablanca.com,1,50.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0,2.0,2.0,0
besttop.mobi,66,38.7605,4.583,47.4235,1304010.435,1614.0,72445.024,184.5,13748.5055,166.0,849.5,18.5,764.5,24,239.0,298.0,1
animtr.com,1,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0
bible-center.ru,66,63.7605,4.583,47.4235,1304010.435,1613.5,72445.024,184.5,13748.5055,166.0,849.0,18.5,764.5,24,238.5,297.5,1
urbndesk.com,1,50.0,0.001,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0,2.0,2.0,0
bidouillesikea.com,66,38.7605,4.5835,47.4235,1304010.435,1614.0,72445.024,185.0,13749.5055,166.5,849.5,18.5,764.5,24,239.0,298.0,1
summitasia.com,1,11.110999999999999,0.01,0.0,0.0,9.0,0.0,9.0,28.529,9.0,9.0,0.0,0.0,0,9.0,9.0,0
bigdreams.ca,66,19.316,4.588,47.4235,1304010.435,1617.5,72445.024,188.5,13762.77,170.0,853.0,18.5,764.5,24,242.5,301.5,1
finvsfin.com,1,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0
bilgiotu.com,66,63.7605,4.583,47.4235,1304010.435,1613.5,72445.024,184.5,13748.5055,166.0,849.0,18.5,764.5,24,238.5,297.5,1
sex-chat.pw,1,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0
biografix.ru,66,63.7605,4.583,47.4235,1304010.435,1613.5,72445.024,184.5,13748.5055,166.0,849.0,18.5,764.5,24,238.5,297.5,1
stbonaventuremission.org,1,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0
bitcoinnarede.blogspot.com.br,66,63.7605,4.583,47.4235,1304010.435,1613.5,72445.024,184.5,13748.5055,166.0,849.0,18.5,764.5,24,238.5,297.5,1
houseofhiredesigns.com,1,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0
bithunthunt.faucetfly.com,66,63.7605,4.583,47.4235,1304010.435,1613.5,72445.024,184.5,13748.5055,166.0,849.0,18.5,764.5,24,238.5,297.5,1
ami.by,1,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0
biyolojigunlugu.com,66,63.7605,4.583,47.4235,1304010.435,1613.5,72445.024,184.5,13748.5055,166.0,849.0,18.5,764.5,24,238.5,297.5,1
